s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.5018245E-003,-2.2204460E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5018245E-003, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 1.0571325E+000,-3.1072073E-005, 1.7919064E-002, 5.2398105E-008, 3.3434897E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6358395E-004, 1.0753549E+000, 1.6093055E-004, 1.6093055E-004
 5.0000000E-001, 3.3357002E+000,-2.8752947E-004, 5.7047626E-002,-2.0139070E-003, 4.9679882E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0742690E+000, 3.3909431E+000, 3.0364681E-004, 3.0364681E-004
 7.5000000E-001, 5.6996309E+000,-4.9365444E-001, 8.8992462E-002,-1.3818411E-002, 6.7332158E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3847634E+000, 5.2818239E+000, 4.1734212E-004, 4.1734212E-004
 1.0000000E+000, 7.7117330E+000,-1.4568124E+000, 1.0630884E-001,-4.0485031E-002, 1.0320133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2677705E+000, 6.3217764E+000, 5.0042642E-004, 5.0042642E-004
 1.2500000E+000, 9.2548202E+000,-3.1144363E+000, 1.0309330E-001,-7.5442544E-002, 1.8572291E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2983552E+000, 6.1698919E+000, 5.5738813E-004, 5.5738813E-004
 1.5000000E+000, 1.0393550E+001,-4.5283445E+000, 9.8022006E-002,-9.4829844E-002, 2.2426847E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1459591E+000, 5.8706403E+000, 5.9475260E-004, 5.9475260E-004
 1.7500000E+000, 1.1161611E+001,-4.0353536E+000, 1.1974980E-001,-8.6226894E-002, 2.3944860E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8580729E+000, 7.1621751E+000, 6.1855673E-004, 6.1855673E-004
 2.0000000E+000, 1.1661853E+001,-3.3327333E+000, 1.4051862E-001,-7.4027516E-002, 2.4713093E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1568260E+000, 8.3980818E+000, 6.3344088E-004, 6.3344088E-004
