#Flow at exit NaN( ID 0 )
#Time (s)  cummulative number of agents 

29.833333  1
31.041667  2
32.291667  3
33.500000  4
34.125000  5
34.708333  6
35.416667  7
35.500000  8
35.916667  9
36.666667  10
37.875000  11
38.833333  12
38.875000  13
39.083333  14
40.041667  15
40.291667  16
41.291667  17
41.541667  18
42.500000  19
42.750000  20
43.708333  21
44.375000  22
44.958333  23
45.583333  24
46.791667  25
46.791667  26
48.041667  27
48.083333  28
49.250000  29
49.458333  30
50.666667  31
56.541667  32

