#framerate (fps):	2.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon
00000	 2	 0.3124	 12.4486	 1.2000	 0.5425	 0.7258	 (((10012.719881, 131236.697730), (11214.169948, 130363.852517), (13124.000000, 124485.999928), (11214.169906, 118608.147425), (6214.169889, 114975.434819), (33.830008, 114975.434853), (0.020485, 114999.998910), (0.005369, 131305.923617), (10012.719881, 131236.697730)))
00000	 48	 0.3218	 13.8082	 1.2000	 0.5438	 0.3373	 (((9977.015799, 131236.944580), (0.004742, 131305.923621), (0.020553, 147499.706115), (127.830077, 147592.565170), (6308.169957, 147592.565159), (11308.169948, 143959.852517), (12552.574305, 140129.969710), (12132.725135, 134741.867420), (11308.169906, 132204.147425), (9977.015799, 131236.944580)))
00000	 3	 1.1798	 9.9185	 1.2000	 0.3403	 0.6563	 (((21798.000000, 99185.000000), (19888.169906, 93307.147425), (14888.169889, 89674.434819), (8707.830008, 89674.434853), (3707.830031, 93307.147512), (1798.000000, 99185.000036), (3707.830073, 105062.852546), (8707.830077, 108695.565170), (14888.169957, 108695.565159), (19888.169948, 105062.852517), (21798.000000, 99185.000000)))
00000	 30	 1.4121	 16.0891	 1.2000	 0.3478	 0.3961	 (((11030.830077, 170401.565170), (12021.390783, 170401.565168), (20583.080917, 167951.728440), (22211.169948, 166768.852517), (24121.000000, 160890.999928), (22211.169906, 155013.147425), (17211.169889, 151380.434819), (11030.830008, 151380.434853), (6030.830031, 155013.147512), (4121.000000, 160891.000036), (6030.830073, 166768.852546), (11030.830077, 170401.565170)))
00000	 22	 1.6353	 18.9837	 1.2000	 0.3988	 0.5904	 (((24791.521781, 185031.264233), (10656.499353, 182220.044934), (8262.830031, 183959.147512), (6353.000000, 189837.000036), (8262.830073, 195714.852546), (13262.830077, 199347.565170), (19443.169957, 199347.565159), (21676.015438, 197724.911192), (26059.065926, 188932.717099), (24791.521781, 185031.264233)))
00000	 37	 1.6905	 3.5577	 1.2000	 0.3403	 0.5694	 (((26905.000000, 35577.000000), (24995.169906, 29699.147425), (19995.169889, 26066.434819), (13814.830008, 26066.434853), (8814.830031, 29699.147512), (6905.000000, 35577.000036), (8814.830073, 41454.852546), (13814.830077, 45087.565170), (19995.169957, 45087.565159), (24995.169948, 41454.852517), (26905.000000, 35577.000000)))
00000	 21	 1.8770	 6.0791	 1.2000	 0.4757	 0.2122	 (((21860.169889, 51280.434819), (15679.830008, 51280.434853), (10679.830031, 54913.147512), (8770.000000, 60791.000036), (10679.830073, 66668.852546), (15679.830077, 70301.565170), (21860.169957, 70301.565159), (21953.719672, 70233.597312), (22242.629621, 51558.308076), (21860.169889, 51280.434819)))
00000	 1	 1.8834	 17.7362	 1.2000	 0.3938	 0.6142	 (((26924.169906, 171484.147425), (21924.169889, 167851.434819), (20933.607097, 167851.434825), (12371.925583, 170301.266842), (10743.830031, 171484.147512), (8834.000000, 177362.000036), (10395.560627, 182167.989416), (24530.326848, 184979.081338), (26924.169948, 183239.852517), (28834.000000, 177361.999928), (26924.169906, 171484.147425)))
00000	 11	 2.1457	 13.6661	 1.2000	 0.4238	 0.3002	 (((18366.830008, 127150.434853), (13366.830031, 130783.147512), (12122.555782, 134612.629936), (12542.405312, 140001.534058), (13366.830073, 142538.852546), (18366.830077, 146171.565170), (24547.169957, 146171.565159), (29547.169948, 142538.852517), (30628.646538, 139210.409815), (19285.088128, 127150.434848), (18366.830008, 127150.434853)))
00000	 12	 2.5428	 6.0894	 1.2000	 0.4757	 0.4709	 (((22337.830008, 51383.434853), (22244.282646, 51451.400990), (21955.372720, 70126.693636), (22337.830077, 70404.565170), (28518.169957, 70404.565159), (33518.169948, 66771.852517), (35428.000000, 60893.999928), (33518.169906, 55016.147425), (28518.169889, 51383.434819), (22337.830008, 51383.434853)))
